Title,Contents,Date
원래 이렇게 답변이 없나요?ㅠ,1월 한달만 해도 1일 단기직 포함 한 4-50군데 넣었는데 답변 온곳이 하나도 없어요…알바경력도 2년정도 있고 장기1년 있고 프사도 붙이고 자격증도 2개정도 적어놨고 뭘 더 해야하나요뭐가 문제인지 모르겠으니 결국 드는 생각은 나이 많은거(30대 후반)때문인가 싶기도 하고 이정도로 연락 안오는 분들도 있나요??,2025-01-26
택배 보조엄무,보조업무를 했는데 이번주에 돈 들어온다고 해놓고 아직도 못받고 있는데 어떻게 해야되나요?꼭 받아야되는데ㅠㅠ,2025-01-26
미성년자라 만만했나요? 알바에서 겪은 부당함,"안녕하세요. 저는 최근 샤브샤브집 아르바이트를 하며 미성년자라는 이유로 너무나도 부당한 일을 겪었습니다.다음은 제가 겪은 상황들입니다1.근로계약서 파기 및 변경? 근로계약서를 작성했지만, 사장이 제 앞에서 계약서를 찢으며 마음대로 변경했습니다.? 주휴수당을 지급하지 않기 위해 계약 조건을 바꾸려 했습니다.2. 임금 지급 지연? 근무 당시 시급은 11,000원이었고, 1월 8일에 12시간, 1월 9일에 11시간 근무했습니다.? 급여는 1월 15일에 지급하기로 했지만, 여러 번 약속을 어기며 아직도 지급하지 않았습니다.? 제가 문제를 제기하자, 노동청 신고를 언급하기 전까지는 어떤 대응도 하지 않았습니다.3. 보건증 요구 없음? 음식점에서 일했음에도 불구하고, 사장은 보건증을 제출하라는 요구를 하지 않았습니다. 이는 명백한 식품위생법 위반입니다.4. 미성년자 보호 의무 위반? 저는 미성년자임에도 불구하고 하루 12시간 이상의 근로를 요구받았고, 부모님 동의서도 받지 않았습니다.또한 일을 시작할 때 주휴수당을 지급하겠다고 약속했지만?하지만 일이 끝날 때, 다음과 같은 부당한 조건을 제시함1. **최저시급(10,030원)**만 받고 주휴수당을 받을 것2. 시급 11,000원을 받고 주휴수당을 받지 않을 것둘 중 네가 원하는 것을 선택해라고 이야기하였습니다.저는 고용주와 정당하게 일하고 약속된 대가를 받을 권리가 있습니다. 하지만 고용주는 제 권리를 무시하며 계속해서 약속을 어겼습니다.이 글을 통해 많은 분들이 저와 같은 일을 겪지 않기를 바랍니다. 저도 지금 노동청에 신고를 진행 중입니다.",2025-01-26
주급제가 사람ㅇ 이라던지 파인드ㅈ 이라던지,이런데도 있나요?알바몬에도 주급제는 보이는데 선택을좀더 넓히고 싶어서요,2025-01-26
안성원곡 신선물류센터 여기어떤가요 ?,지인한테 추천받아서  가보려고 하는데요어떤가요 ?,2025-01-26
조건 어떰??,11:30-10:30(휴게 1시간)280만원(세전)주 5일 평일 2일 휴무홀서빙,2025-01-26
9군데 넣었는데 미열람 ㅜㅜ,흔한 일인가요?이미 다 구해서 미열람인거겠죠?,2025-01-26
ㄹ ㅏㅇ마라탕 일산점 !!!!!!!!!!!!!!,ㄹㅇ마라탕 일산점 근무해보신 분 계세요??있우시면 솔직 후기점여..,2025-01-26
일산 뉴코아아울렛 8층 카페 루ㄱ!!!!!,일산 뉴코아아울렛 8층 카페 루ㄱ에서 근무했던분 계실꺼요?? 계신다면 후기 좀…,2025-01-26
낼부터 정기배송일이에요,낼부터 쿠팡정기 배송일 이에요?,2025-01-26
하 피토하고 싶은 심정..,"정말 제가 꼭 하고싶고 시간이나 위치등 조건도 좋은 알바가 있었는데 그걸 본 시간이 새벽 세시, 간편문자지원 밖에 없었는데 혹시 새벽에 잠깨실까봐 6시에 지원하자 하고 기다렸다 방금 다시봤는데 공고 사라졌어요. 하... 배려고 뭐고 그냥 지원할걸... 피토하고 싶은 심정입니다ㅜㅜ",2025-01-26
쿠팡  확정받고 싶어요,쿠팡 확정받고 싶어요,2025-01-26
